epoch,loss,accuracy,val_loss,val_accuracy
1,2.727535248,0.197986454,1.666371822,0.294034094
2,2.487173319,0.353256047,1.541277051,0.385795444
3,2.351461649,0.410826325,1.47613585,0.418892056
4,2.259897232,0.436810941,1.395445585,0.452698857
5,2.179737091,0.464957982,1.347972751,0.477414787
6,2.120046377,0.479137868,1.311179996,0.488636374
7,2.065285921,0.495267481,1.29223752,0.502556801
8,2.018520594,0.508809268,1.232819438,0.519318163
9,1.975144386,0.519125104,1.24175334,0.521164775
10,1.944311738,0.528271139,1.23892498,0.518607974
11,1.910583973,0.539898634,1.243692756,0.522443175
12,1.873835564,0.547413945,1.235744834,0.522727251
13,1.845526814,0.558474243,1.221530795,0.530397713
14,1.822336078,0.564075291,1.160010338,0.552698851
15,1.801845789,0.566308618,1.15865767,0.555823863
16,1.779305696,0.57602185,1.157070637,0.556107938
17,1.752661228,0.579921305,1.135353684,0.564204574
18,1.740723968,0.585664153,1.149922848,0.560227275
19,1.718065143,0.589705408,1.143814325,0.566335201
20,1.701734543,0.593285859,1.135019302,0.568181813
21,1.685244679,0.598496914,1.117877245,0.576562524
22,1.664366961,0.602290034,1.099685788,0.577982962
23,1.644649625,0.60721755,1.123702645,0.563636363
24,1.637244344,0.6123932,1.117249966,0.573153436
25,1.614503622,0.613102198,1.082845211,0.584943175
26,1.603001118,0.617675185,1.099583268,0.580965936
27,1.584359169,0.624375224,1.106155038,0.585085213
28,1.576073766,0.625793159,1.113534451,0.570880711
29,1.565115929,0.627813816,1.077303886,0.589346588
30,1.55651319,0.630720675,1.110040426,0.580681801
31,1.545113921,0.632705867,1.063715339,0.600710213
32,1.524927497,0.635400057,1.088836908,0.591477275
33,1.51533258,0.636179924,1.123099566,0.577982962
34,1.495397329,0.645290494,1.068555832,0.598863661
35,1.489573598,0.645857692,1.082374215,0.595596611
36,1.466852188,0.652522266,1.075201035,0.596306801
37,1.461741924,0.65145874,1.152068257,0.573437512
38,1.450174809,0.654294729,1.100807786,0.594602287
39,1.43008709,0.660604775,1.122274876,0.587499976
40,1.427567601,0.661420107,1.085842013,0.603124976
